pathogen,disease,symptoms
Pseudomonas mendocina,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudomonas monteilii,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudomonas mosselii,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudomonas oryzihabitans,"Septicaemia, eye infection, CAPD peritonitis",
Pseudomonas otitidis,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudomonas pertucinogena,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudomonas pseudoalcaligenes,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudomonas putida,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudomonas stutzeri,"Bacteraemia, UTI, wound infection, abscesses, septic arthritis, conjunctivitis, endocarditis, meningitis, otitis",
Pseudonocardia autotrophica,,
Pseudopropionibacterium propionicum,"Abscesses, endocarditis, bacteraemia, septic arthritis, endophthalmitis",
Pseudoramibacter alactolyticus,"Periodontal disease, wound infection, abscesses",
Pseudoterranova decipiens,anisakiasis,
Psychrobacter immobilis,"Meningitis, bacteraemia, eye infection",
Psychrobacter phenylpyruvicus,"Meningitis, bacteraemia, eye infection",
Punta Toro phlebovirus,,
Purpureocillium lilacinum,,
Puumala orthohantavirus,,
Puumala virus,nephropathia epidemica;hemorrhagic fever with renal syndrome,
Pyrenochaeta cava,,
Pythium insidiosum,,
Qalyub orthonairovirus,,
Quambalaria cyanescens,,
Quang Binh virus,,
Quezon orthohantavirus,,
Rabies lyssavirus,,
Rahnella aquatilis,"UTI, septicaemia",
Ralstonia insidiosa,"Meningitis, peritonitis, bacteraemia, UTI, pulmonary infection",
Ralstonia mannitolilytica,"Meningitis, peritonitis, bacteraemia, UTI, pulmonary infection",
Ralstonia pickettii,"Meningitis, peritonitis, bacteraemia, UTI, pulmonary infection",
Raoultella ornithinolytica,"Bacteraemia, UTI, surgical sepsis, pancreatitis",
Raoultella planticola,"Bacteraemia, UTI, surgical sepsis, pancreatitis",
Raoultella terrigena,"Bacteraemia, UTI, surgical sepsis, pancreatitis",
Rasamsonia argillacea,,
Rasbo bacterium,"Pneumonia, pericarditis",
Rattus norvegicus,Korean hemorrhagic fever,
Razdan virus,,
Respiratory syncytial virus,,
Reston ebolavirus,,
Rhinocladiella aquaspersa,,
Rhinocladiella atrovirens,,
Rhinocladiella basitona,,
Rhinocladiella mackenziei,phaeohyphomycosis,
Rhinocladiella similis,,
Rhinosporidium seeberi,,
Rhinovirus A,,
Rhinovirus B,,
Rhipicephalus pumilio,Astrakhan spotted fever,
Rhipicephalus sanguineus,Astrakhan spotted fever;Indian tick typhus;Israeli tick typhus;boutonneuse fever,
Rhizomucor miehei,,
Rhizomucor pusillus,,
Rhizopus azygosporus,,
Rhizopus homothallicus,,
Rhizopus microsporus,,
Rhizopus oryzae,,
Rhizopus schipperae,,
Rhizopus stolonifer,,
Rhodococcus equi,"Bacteraemia, osteomyelitis, lung abscesses",
Rhodotorula diobovata,,
Rhodotorula mucilaginosa,,
Rhodotorula sphaerocarpa,,
Rhodotorula toruloides,,
Ricinus communis ricin,Ricin poisoning,
Rickettsia,spotted fever;typhus,
Rickettsia africae,African tick-bite fever;Rickettsial spotted fever; tick typhus; tick-bite fever; rickettsialpox,
Rickettsia akari,rickettsialpox;Rickettsial spotted fever; tick typhus; tick-bite fever; rickettsialpox,
Rickettsia australis,Queensland tick typhus;Rickettsial spotted fever; tick typhus; tick-bite fever; rickettsialpox,
Rickettsia conorii,Rickettsial spotted fever; tick typhus; tick-bite fever; rickettsialpox,"disturbed vision,  fever,  headache,  joint pain,  malaise,  rash,  vertigo,  arthritis,  hyperthermia,  myalgia,  tache noire, disturbed vision,"
Rickettsia conorii str. Malish 7,Rickettsiosis,
Rickettsia conorii subsp. caspia,Rickettsiosis,
Rickettsia conorii subsp. conorii,Rickettsiosis,
Rickettsia conorii subsp. indica,Rickettsiosis,
Rickettsia conorii subsp. israelensis,Israeli tick typhus,
Rickettsia felis,Flea-borne rickettsiosis;Rickettsial spotted fever; tick typhus; tick-bite fever; rickettsialpox,
Rickettsia felis URRWXCal2,Spotted Fevers,
Rickettsia heilongjiangensis,Far Eastern spotted fever,
Rickettsia helvetica,aneruptive fever,
Rickettsia honei,Flinders Island spotted fever;Rickettsial spotted fever; tick typhus; tick-bite fever; rickettsialpox,
Rickettsia japonica,Japanese spotted fever;Rickettsial spotted fever; tick typhus; tick-bite fever; rickettsialpox,
Rickettsia parkeri,Rickettsia parkeri spotted fever,
Rickettsia prowazekii,Epidemic Typhus;Rickettsial spotted fever; tick typhus; tick-bite fever; rickettsialpox,"asthenia,  coma,  conjunctivitis,  cough,  delirium,  diarrhea,  fever,  headache,  joint pain,  purpuric rash,  severe myalgia,  splenomegaly,  vomiting,  abdominal discomfort,  anorexia,  atrial fibrillation,  chills,  confusion,  cyclic fever,  dehydration,  expressive aphasia,  hematuria,  impaired coordination,  malaise,  neurological and physiological symptom,  abdominal pain,  disturbed vision,  meningismus,  nausea,  photophobia,  pneumonitis,  seizure,  stupor,  tinnitus, asthenia,"
Rickettsia rickettsii,Rickettsial spotted fever; tick typhus; tick-bite fever; rickettsialpox,"abdominal pain,  anorexia,  cough,  dehydration,  fever,  irritability,  lethargy,  maculopapular rash,  malaise,  myalgia,  nausea,  photophobia,  thick white exudate on tongue,  vomiting, abdominal pain,"
Rickettsia sibirica,Siberian tick typhus;Rickettsial spotted fever; tick typhus; tick-bite fever; rickettsialpox,
Rickettsia sibirica subsp. mongolitimonae,"Rickettsial spotted fever, tick typhus, tick-bite fever, rickettsialpox",
Rickettsia slovaca,"Rickettsial spotted fever, tick typhus, tick-bite fever, rickettsialpox",
Rickettsia typhi,Endemic typhus;Rickettsial spotted fever; tick typhus; tick-bite fever; rickettsialpox,"abdominal pain,  bloody stool,  chills,  conjunctivitis,  fatigue,  fever,  frontal headache,  hepatosplenomegaly,  meningismus,  myalgia,  nausea,  photophobia,  vomiting, abdominal pain,"
Rickettsia typhi str. Wilmington,Endemic typhus,
Rift Valley fever phlebovirus,,
Rift Valley fever virus,Rift Valley fever,
Rio Bravo virus,,
Rodentibacter pneumotropicus,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
Rosavirus A,,
Roseomonas cervicalis,"Bacteraemia, wound infection, peritonitis",
Roseomonas gilardii subsp. gilardii,"Bacteraemia, wound infection, peritonitis",
Roseomonas gilardii subsp. rosea,"Bacteraemia, wound infection, peritonitis",
Roseomonas mucosa,"Bacteraemia, wound infection, peritonitis",
Ross River virus,Ross River fever,
Rotavirus A,,
Rotavirus B,,
Rotavirus C,,
Rotavirus H,,
Rotavirus I,,
Rothia dentocariosa,"Endocarditis, abscesses",
Rothia mucilaginosa,"Endocarditis, meningitis, neutropenic sepsis, necrotizing fasciitis",
Royal Farm virus,,
Rubella virus,,
Ruminococcus flavefaciens,"Abdominal sepsis, abscesses",
SARS coronavirus,severe acute respiratory syndrome,"fever,  body ache,  diarrhea,  dry cough,  pneumonia,  chills, fever,"
SARS-related coronavirus,,
SFTS phlebovirus,,
Sabethes,yellow fever,
Sabia mammarenavirus,Brazilian hemorrhagic fever,
Saboya virus,,
Saccharomyces cerevisiae,,
Saksenaea vasiformis,,
Salehabad phlebovirus,,
Salem virus,,
Sali virus A,,
Salmo salar,Atlantic salmon allergy,
Salmonella,Septicemia,"abdominal cramp,  hemorrhagic diarrhea,  fever,  poor feeding, abdominal cramp,"
Salmonella bongori,Enteritis;Gastroenteritis; enteric fever; osteomyelitis,"diarrhea,  fever, diarrhea,"
Salmonella bongori 12149,unknown,
Salmonella choleraesuis subsp. arizonae,"Gastroenteritis, enteric fever, osteomyelitis",
Salmonella choleraesuis subsp. choleraesuis,"Gastroenteritis, enteric fever, osteomyelitis",
Salmonella choleraesuis subsp. diarizonae,"Gastroenteritis, enteric fever, osteomyelitis",
Salmonella choleraesuis subsp. houtenae,"Gastroenteritis, enteric fever, osteomyelitis",
Salmonella choleraesuis subsp. indica,"Gastroenteritis, enteric fever, osteomyelitis",
Salmonella choleraesuis subsp. salamae,"Gastroenteritis, enteric fever, osteomyelitis",
Salmonella enterica,Gastroenteritis,"abdominal pain,  chest pain,  conscious disturbance,  cough,  cyanosis,  diarrhea,  fever,  hip pain,  hypotension,  joint pain,  low backache,  malaise,  nausea,  seizure,  shock,  vomiting,  wound discharge, abdominal pain,"
Salmonella enterica IIIb 50:k:z,Salmonella enteritis,
Salmonella enterica subsp. Enterica,Gastroenteritis; enteric fever; osteomyelitis,"abdominal cramp,  diarrhea,  nausea,  vomiting,  fever,  acute diarrhea,  severe abdominal cramp,  hemorrhagic diarrhea,  acute enteritis,  anorexia,  hepatic abscess,  weakness, ankle rash,  limb edema,  chills,  night sweats,  pain,  abdominal cramp, abdominal pain,"
Salmonella enterica subsp. arizonae,Meningitis;Gastroenteritis; enteric fever; osteomyelitis,"diarrhea,  nausea,  vomiting,  weakness,  blindness,  opisthotonus,  paralysis,  torticollis, diarrhea,"
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:--",Salmonella enteritis,
Salmonella enterica subsp. diarizonae,Salmonella enteritis;Gastroenteritis; enteric fever; osteomyelitis,
Salmonella enterica subsp. enterica,Salmonella enteritis;Gastroenteritis; enteric fever; osteomyelitis,"abortion, ankle rash,  limb edema,  chills,  fever,  night sweats,  pain,  abdominal cramp,  diarrhea,  nausea,  vomiting, hemorrhagic diarrhea, abdominal pain,  rectorrhagia, abortion,  acute diarrhea,  severe abdominal cramp,  acute enteritis,  anorexia,  hepatic abscess,  weakness,  lethargy,  stiff neck,"
Salmonella enterica subsp. enterica ,Salmonella enteritis;Gastroenteritis; enteric fever; osteomyelitis,
Salmonella enterica subsp. enterica serovar Enteritidis,Endocarditis;Gastroenteritis; enteric fever; osteomyelitis,"ankle rash,  limb edema,  chills,  fever,  night sweats,  pain,  abdominal cramp,  diarrhea,  nausea,  vomiting,"
Salmonella enterica subsp. enterica serovar Paratyphi A,"Gastroenteritis, enteric fever, osteomyelitis",
Salmonella enterica subsp. enterica serovar Typhi,"Gastroenteritis, enteric fever, osteomyelitis","abdominal pain,  diarrhea,  fever,  vomiting,"
Salmonella enterica subsp. enterica serovar Typhimurium,"Gastroenteritis, enteric fever, osteomyelitis","abdominal cramp,  diarrhea,  nausea,  vomiting,  fever,  acute diarrhea,  severe abdominal cramp,  hemorrhagic diarrhea,  acute enteritis,  anorexia,  hepatic abscess,  weakness,"
Salmonella enterica subsp. houtenae,Brain abscess;Gastroenteritis; enteric fever; osteomyelitis,
Salmonella enterica subsp. indica,unknown;Gastroenteritis; enteric fever; osteomyelitis,
Salmonella enterica subsp. salamae,Salmonella enteritis;Gastroenteritis; enteric fever; osteomyelitis,
Salmonella thompson C1,Salmonella enteritis,
Salmonella typhimurium DT104,Salmonella enteritis,"diarrhea,  depression,  fever,  lethargy,  loss of appetite, diarrhea,"
Salmonella typhimurium SL1344,Salmonella enteritis,
Salmonella typhimurium TR7095,Salmonella enteritis,
San Angelo virus,,
Sandfly fever Naples phlebovirus,,
Sandfly fever Naples virus,Phlebotomus fever,
Sandfly fever Sicilian virus,Phlebotomus fever,
Sangassou orthohantavirus,,
Saporro virus,,
Sapporo rat virus,undocumented,
Saprochaete clavata,,
Sarocladium kiliense,,
Sarocladium strictum,,
Saumarez Reef virus,,
Scardovia inopinata,Dental caries,
Scedosporium apiospermum,,
Scedosporium boydii,allescheriosis,
Scedosporium dehoogii,,
Schizophyllum commune,,
Scopulariopsis asperula,,
Scopulariopsis brevicaulis,,
Scopulariopsis brumptii,,
Scopulariopsis candida,,
Scopulariopsis flava,,
Scopulariopsis fusca,,
Scopulariopsis koningii,,
Scylla paramamosain,green mud crab allergy,
Selenomonas artemidis,"Bacteraemia, lung abscess",
Selenomonas dianae,"Bacteraemia, lung abscess",
Selenomonas flueggei,"Bacteraemia, lung abscess",
Selenomonas infelix,"Bacteraemia, lung abscess",
Selenomonas noxia,"Bacteraemia, lung abscess",
Selenomonas sputigena,"Bacteraemia, lung abscess",
Semliki Forest virus,,
Seoul orthohantavirus,,
Seoul virus,undocumented,
Sepik virus,,
Serratia ficaria,"Septicaemia, abscesses, burn infections, osteomyelitis",
Serratia fonticola,"Septicaemia, abscesses, burn infections, osteomyelitis",
Serratia grimesii,"Septicaemia, abscesses, burn infections, osteomyelitis",
Serratia liquefaciens,"Septicaemia, abscesses, burn infections, osteomyelitis",
Serratia marcescens,"Septicaemia, abscesses, burn infections, osteomyelitis",
Serratia odorifera,"Septicaemia, abscesses, burn infections, osteomyelitis",
Serratia plymuthica,"Septicaemia, abscesses, burn infections, osteomyelitis",
Serratia proteamaculans,"Septicaemia, abscesses, burn infections, osteomyelitis",
Serratia quinivorans,"Septicaemia, abscesses, burn infections, osteomyelitis",
Serratia rubidaea,"Septicaemia, abscesses, burn infections, osteomyelitis",
Setosphaeria rostrata,,
Sewage derived gemygorvirus 1,,
Shamonda orthobunyavirus,,
Shewanella algae,"Abdominal sepsis, meningitis, bacteraemia",
Shewanella putrefaciens,"Abdominal sepsis, meningitis, bacteraemia",
Shigella,Shigellosis,"abdominal cramp,  hemorrhagic diarrhea,  fever,  tenesmus,  inflammatory low back pain,  synovitis,  acute renal failure,  hemolytic anemia,  thrombocytopenia, abdominal cramp,"
Shigella boydii,Dysentery;Enteric infection,
Shigella boydii CDC 3083-94,Shigellosis,
Shigella boydii Sb227,Dysentery,
Shigella dysenteriae,Shigellosis;Enteric infection,"abdominal cramp,  hemorrhagic diarrhea,  fever, abdominal cramp,"
Shigella dysenteriae 1012,Dysentery,
Shigella dysenteriae M131649,Dysentery,
Shigella dysenteriae Sd197,Dysentery,
Shigella flexneri,Dysentery;Enteric infection,"abdominal cramp,  hemorrhagic diarrhea,  fever, abdominal cramp,"
Shigella flexneri ,Gastroenteritis;Enteric infection,
Shigella flexneri 2a,Shigellosis,
Shigella flexneri 2a str. 2457T,Dysentery,
Shigella flexneri 2a str. 301,Shigellosis,
Shigella flexneri 5,Dysentery,
Shigella flexneri 5 str. 8401,Dysentery,
Shigella sonnei,Shigellosis;Enteric infection,"abdominal cramp,  hemorrhagic diarrhea,  fever, abdominal cramp,"
Shigella sonnei 53G,Dysentery,
Shigella sonnei Ss046,Dysentery,
Shuni orthobunyavirus,,
Sigmodon alstoni,Venezuelan hemorrhagic fever,
Sigmodon hispidus,hantavirus pulmonary syndrome,
Simbu orthobunyavirus,,
Simian rubulavirus,,
Simkania negevensis,"Bronchiolitis, pneumonia",
Sin Nombre orthohantavirus,,
Sin Nombre virus,hantavirus pulmonary syndrome,
Sindbis virus,,
Slackia exigua,Periodontitis,
Small anellovirus,,
Sneathia sanguinegens,Periodontitis,
Snowshoe hare virus,,
Soochong virus 1,undocumented,
Sosuga rubulavirus,,
Sphingobacterium mizutaii,,
Sphingobacterium multivorum,"Bacteraemia, pulmonary infection",
Sphingobacterium spiritivorum,"Bacteraemia, pulmonary infection",
Sphingobacterium thalpophilum,"Bacteraemia, pulmonary infection",
Sphingobium yanoikuyae,"Septicaemia, UTI, wound infections, CAPD peritonitis",
Sphingomonas parapaucimobilis,"Septicaemia, UTI, wound infections, CAPD peritonitis",
Sphingomonas paucimobilis,"Septicaemia, UTI, wound infections, CAPD peritonitis",
Sphingomonas sanguinis,"Septicaemia, UTI, wound infections, CAPD peritonitis",
Spondweni virus,,
Sporobolomyces johnsonii,,
Sporothrix brasiliensis,,
Sporothrix globosa,,
Sporothrix luriei,,
Sporothrix schenckii,sporotrichosis,
Sporothrix stenoceras,,
St. Louis encephalitis virus,St. Louis encephalitis,
Stagonosporopsis oculi-hominis,,
Staphylococcus aureus,Gastroenteritis;Bacteraemia; wound infection; endocarditis; catheter-related sepsis; UTI; toxic shock syndrome; food poisoning; eye infection; osteomyelitis,"diarrhea,  diffuse rash,  fever,  nausea,  shock,  coma,  confusion,  convulsion,  headache,  malaise,  stiff neck,  stupor,  vomiting,  dyspnea,  inability to feed,  lethargy,  tachycardia,  necrosis,  cough,  chest pain,  pulmonary edema,  joint inflammation,  hypotension,  multiple organ failure,  myalgia,  skin desquamation,  nasal congestion,  nasal discharge,  itching,  yellow exudate from eyes,  palpebral edema,  eye discharge, diarrhea,"
Staphylococcus aureus RF122,,
Staphylococcus aureus subsp. Aureus,,"cough,  fever,  headache,"
Staphylococcus aureus subsp. anaerobius,Caseous lymphadenitis,
Staphylococcus aureus subsp. aureus,unknown,"cough,  fever,  headache, cough,"
Staphylococcus aureus subsp. aureus COL,,
Staphylococcus auricularis,"Bacteraemia, wound infection, endocarditis, catheter-related sepsis, UTI, toxic shock syndrome, food poisoning, eye infection, osteomyelitis",
Staphylococcus capitis subsp. capitis,"Bacteraemia, wound infection, endocarditis, catheter-related sepsis, UTI, toxic shock syndrome, food poisoning, eye infection, osteomyelitis",
Staphylococcus capitis subsp. ureolyticus,"Bacteraemia, wound infection, endocarditis, catheter-related sepsis, UTI, toxic shock syndrome, food poisoning, eye infection, osteomyelitis",
Staphylococcus caprae,"Bacteraemia, wound infection, endocarditis, catheter-related sepsis, UTI, toxic shock syndrome, food poisoning, eye infection, osteomyelitis",
Staphylococcus cohnii subsp. cohnii,"Bacteraemia, wound infection, endocarditis, catheter-related sepsis, UTI, toxic shock syndrome, food poisoning, eye infection, osteomyelitis",
Staphylococcus cohnii subsp. urealyticus,"Bacteraemia, wound infection, endocarditis, catheter-related sepsis, UTI, toxic shock syndrome, food poisoning, eye infection, osteomyelitis",
Staphylococcus delphini,"Bacteraemia, wound infection, endocarditis, catheter-related sepsis, UTI, toxic shock syndrome, food poisoning, eye infection, osteomyelitis",
Staphylococcus epidermidis,"Bacteraemia, wound infection, endocarditis, catheter-related sepsis, UTI, toxic shock syndrome, food poisoning, eye infection, osteomyelitis",
Staphylococcus equorum,"Bacteraemia, wound infection, endocarditis, catheter-related sepsis, UTI, toxic shock syndrome, food poisoning, eye infection, osteomyelitis",
Staphylococcus gallinarum,"Bacteraemia, wound infection, endocarditis, catheter-related sepsis, UTI, toxic shock syndrome, food poisoning, eye infection, osteomyelitis",
Staphylococcus haemolyticus,,
Staphylococcus hominis subsp. hominis,,
Staphylococcus hominis subsp. novobiosepticus,,
Staphylococcus hyicus,,
Staphylococcus intermedius,,
Staphylococcus lugdunensis,,
Staphylococcus pasteuri,,
Staphylococcus saccharolyticus,,
Staphylococcus saprophyticus,,
Staphylococcus schleiferi subsp. coagulans,,
Staphylococcus schleiferi subsp. schleiferi,,
Staphylococcus sciuri,,
Staphylococcus simulans,,
Staphylococcus vitulinus,,
Staphylococcus warneri,,
Staphylococcus xylosus,,
Staphylotrichum coccosporum,,
Stenotrophomonas maltophilia,"Bacteraemia, meningitis, wound infection, UTI, pneumonia",
Streptobacillus moniliformis,Haverhill fever;Rat-bite fever; Haverhill fever,
Streptococcus acidominimus,"Pneumonia, pericarditis, meningitis",
Streptococcus agalactiae,"Pharyngitis, bacteraemia, pyogenic infection, necrotizing infection, septic arthritis, UTI, glomerulonephritis, meningitis",
Streptococcus anginosus,"Abscesses, bacteraemia, endocarditis, pharyngitis",
Streptococcus canis,"Pharyngitis, bacteraemia, pyogenic infection, necrotizing infection, septic arthritis, UTI, glomerulonephritis, meningitis",
Streptococcus constellatus subsp. constellatus,"Abscesses, bacteraemia, endocarditis, pharyngitis",
Streptococcus constellatus subsp. pharyngis,"Abscesses, bacteraemia, endocarditis, pharyngitis",
Streptococcus criceti,"Dental caries, endocarditis",
Streptococcus cristatus,"Bacteraemia, endocarditis, wound infection",
Streptococcus dysgalactiae subsp. dysgalactiae,"Pharyngitis, bacteraemia, pyogenic infection, necrotizing infection, septic arthritis, UTI, glomerulonephritis, meningitis",
Streptococcus dysgalactiae subsp. equisimilis,"Pharyngitis, bacteraemia, pyogenic infection, necrotizing infection, septic arthritis, UTI, glomerulonephritis, meningitis",
Streptococcus equi subsp. equi,"Pharyngitis, bacteraemia, pyogenic infection, necrotizing infection, septic arthritis, UTI, glomerulonephritis, meningitis",
Streptococcus equi subsp. zooepidemicus,"Pharyngitis, bacteraemia, pyogenic infection, necrotizing infection, septic arthritis, UTI, glomerulonephritis, meningitis",
Streptococcus equinus,"Endocarditis, CAPD peritonitis",
Streptococcus gallolyticus subsp. gallolyticus,"Endocarditis, CAPD peritonitis",
Streptococcus gordonii,"Bacteraemia, endocarditis, wound infection",
Streptococcus infantarius subsp. infantarius,"Endocarditis, CAPD peritonitis",
Streptococcus iniae,"Pharyngitis, bacteraemia, pyogenic infection, necrotizing infection, septic arthritis, UTI, glomerulonephritis, meningitis",
Streptococcus intermedius,"Abscesses, bacteraemia, endocarditis, pharyngitis",
Streptococcus lutetiensis,"Endocarditis, CAPD peritonitis",
Streptococcus massiliensis,"Bacteraemia, endocarditis, wound infection",
Streptococcus mitis,"Bacteraemia, endocarditis, wound infection",
Streptococcus mutans,"Dental caries, endocarditis",
Streptococcus oralis,"Bacteraemia, endocarditis, wound infection",
Streptococcus parasanguinis,"Bacteraemia, endocarditis, wound infection",
Streptococcus pasteurianus,"Endocarditis, CAPD peritonitis",
Streptococcus pneumoniae,"Pneumonia, bacteraemia, sinusitis, peritonitis, otitis, conjunctivitis",
Streptococcus porcinus,"Pharyngitis, bacteraemia, pyogenic infection, necrotizing infection, septic arthritis, UTI, glomerulonephritis, meningitis",
Streptococcus pseudopneumoniae,"Pneumonia, bacteraemia, sinusitis, peritonitis, otitis, conjunctivitis",
Streptococcus pseudoporcinus,"Pharyngitis, bacteraemia, pyogenic infection, necrotizing infection, septic arthritis, UTI, glomerulonephritis, meningitis",
Streptococcus pyogenes,toxic shock syndrome;Pharyngitis; bacteraemia; pyogenic infection; necrotizing infection; septic arthritis; UTI; glomerulonephritis; meningitis,
Streptococcus ratti,"Dental caries, endocarditis",
Streptococcus salivarius,"Bacteraemia, endocarditis, wound infection",
Streptococcus sanguinis,"Bacteraemia, endocarditis, wound infection",
Streptococcus sinensis,"Bacteraemia, endocarditis, wound infection",
Streptococcus sobrinus,"Dental caries, endocarditis",
Streptococcus suis,Meningitis,
Streptococcus urinalis,"Pharyngitis, bacteraemia, pyogenic infection, necrotizing infection, septic arthritis, UTI, glomerulonephritis, meningitis",
Streptococcus vestibularis,"Bacteraemia, endocarditis, wound infection",
Streptomyces albus,Actinomycetoma,
Streptomyces anulatus,Actinomycetoma,
Streptomyces bikiniensis,"Bacteraemia, abscess, pericarditis, endocarditis",
Streptomyces griseus,"Bacteraemia, abscess, pericarditis, endocarditis",
Streptomyces paraguayensis,Actinomycetoma,
Streptomyces somaliensis,Actinomycetoma,
Succinivibrio dextrinosolvens,"Bacteraemia, pneumonia",
Sudan ebolavirus,Ebola virus disease,
Sutterella wadsworthensis,"Appendicitis, peritonitis, abscesses, osteomyelitis",
Suttonella indologenes,"Endocarditis, eye infection",
Sydowia polyspora,,
Syncephalastrum racemosum,,
T'Ho virus,,
TTV-like mini virus,,
Tacaribe mammarenavirus,,
Taenia saginata,taeniasis,
Taenia solium,taeniasis,
Tahyna virus,,"sudden onset of fever,  headache,  malaise,  myalgia,  nausea,  anorexia,  joint pain,  stiff neck, sudden onset of fever,"
Tai Forest ebolavirus,,
Tailam virus,,
Talaromyces marneffei,penicilliosis,
Talaromyces piceae,,
Talaromyces purpureogenus,,
Talaromyces rugulosus,,
Talaromyces verruculosus,,
Tamiami mammarenavirus,,
Tanapox virus,,
Tannerella forsythia,Endodontic infection,
Tapara virus,,
Tatlockia micdadei,"Legionnaires’ disease, Pontiac fever",
Tatumella ptyseos,"Bacteraemia, UTI",
Tembusu virus,,
Terrisporobacter glycolicus,"Wound infection, bacteraemia, abscesses",
Tete orthobunyavirus,,
Tetragenococcus solitarius,"Bacteraemia, abscesses, endocarditis, meningitis, UTI, peritonitis, osteomyelitis, wound infection",
Tetraplosphaeria tetraploa,,
Thailand virus,undocumented,
Thermoascus crustaceus,,
Thermothelomyces heterothallica,,
Thiafora orthonairovirus,,
Thielavia subthermophila,,
Thielavia terrestris,,
This,common wart,
Thogoto virus,,
Thottapalayam orthohantavirus,,
Tick-borne encephalitis virus,tick-borne encephalitis,
Tioman rubulavirus,,
Tissierella praeacuta,Bacteraemia,
Tofla virus,,
Toros virus,,
Torque teno indri virus 1,,
Torque teno midi virus 1,,
Torque teno midi virus 2,,
Torque teno mini virus 1,,
Torque teno mini virus 18,,
Torque teno mini virus 2,,
Torque teno mini virus 3,,
Torque teno mini virus 4,,
Torque teno mini virus 5,,
Torque teno mini virus 6,,
Torque teno mini virus 7,,
Torque teno mini virus 8,,
Torque teno mini virus 9,,
Torque teno mini virus ALA22,,
Torque teno mini virus ALH8,,
Torque teno virus,,
Torque teno virus 1,,
Torque teno virus 10,,
Torque teno virus 12,,
Torque teno virus 14,,
Torque teno virus 15,,
Torque teno virus 16,,
Torque teno virus 19,,
Torque teno virus 2,,
Torque teno virus 25,,
Torque teno virus 26,,
Torque teno virus 27,,
Torque teno virus 28,,
Torque teno virus 3,,
Torque teno virus 4,,
Torque teno virus 6,,
Torque teno virus 7,,
Torque teno virus 8,,
Toxoplasma gondii,toxoplasmosis,
Trabulsiella guamensis,Diarrhoea,
Trematosphaeria grisea,,
Treponema amylovorum,Associated with periodontal disease. Role as potential pathogens unclear,
Treponema denticola,Associated with periodontal disease. Role as potential pathogens unclear,
Treponema lecithinolyticum,Associated with periodontal disease. Role as potential pathogens unclear,
Treponema maltophilum,Associated with periodontal disease. Role as potential pathogens unclear,
Treponema medium,Associated with periodontal disease. Role as potential pathogens unclear,
Treponema minutum,,
Treponema pallidum subsp. endemicum,Syphilis,
Treponema pallidum subsp. pallidium,Syphilis,
Treponema pallidum subsp. pertenue,Yaws,
Treponema parvum,Associated with periodontal disease. Role as potential pathogens unclear,
Treponema pectinovorum,Associated with periodontal disease. Role as potential pathogens unclear,
Treponema phagedenis,,
Treponema putidum,Associated with periodontal disease. Role as potential pathogens unclear,
Treponema refringens,,
Treponema socranskii,Associated with periodontal disease. Role as potential pathogens unclear,
Treponema vincentii,Associated with periodontal disease. Role as potential pathogens unclear,
Triadelphia pulvinata,,
Trichoderma koningii,,
Trichoderma lixii,,
Trichoderma longibrachiatum,,
Trichoderma pseudokoningii,,
Trichoderma viride,,
Trichomonascus ciferrii,,
Trichophyton,tinea pedis,
Trichophyton benhamiae,,
Trichophyton bullosum,,
Trichophyton concentricum,tinea imbricata,
Trichophyton equinum,ectothrix infectious disease,
Trichophyton mentagrophytes,tinea barbae;tinea profunda,
Trichophyton rubrum,,
Trichophyton schoenleinii,,
Trichophyton simii,,
Trichophyton tonsurans,,
Trichophyton verrucosum,ectothrix infectious disease;tinea barbae,
Trichophyton violaceum,,
Trichosporon,trichosporonosis,
Trichosporon asahii,,
Trichosporon asteroides,,
Trichosporon inkin,,
Trichosporon ovoides,,
Tritirachium oryzae,,
Trivittatus virus,undocumented,
Tropheryma whipplei,Whipple’s disease,
Trueperella bernardiae,"UTI, septicaemia, septic arthritis",
Trueperella pyogenes,Septic arthritis,
Tsukamurella inchonensis,"Septicaemia, cutaneous infections, lung infections",
Tsukamurella paurometabola,"Septicaemia, cutaneous infections, lung infections",
Tsukamurella pulmonis,"Septicaemia, cutaneous infections, lung infections",
Tsukamurella strandjordii,"Septicaemia, cutaneous infections, lung infections",
Tsukamurella tyrosinosolvens,"Septicaemia, cutaneous infections, lung infections",
Tuhoko rubulavirus 1,,
Tuhoko rubulavirus 2,,
